bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
16:40,-130,2,16:40,-184,-100,105
07:50,-270,2,07:50,-150,-70,-20
13:30,-20,2,13:30,-176,-90,40
09:30,70,1,09:30,-180,-80,-20
14:20,-140,3,14:20,-179,-90,30
12:10,-130,11,12:10,-190,-100,-10
12:30,-100,19,12:30,-180,-90,20
13:50,-70,3,13:50,-190,-100,56
07:10,-310,2,07:10,-130,-60,-30
09:00,-520,1,09:00,-161,-80,-20
11:20,-50,15,11:20,-180,-100,0
09:10,-190,20,09:10,-180,-90,-20
07:50,-160,14,07:50,-150,-70,-20
13:00,-210,2,13:00,-178,-90,28
04:50,-20,6,04:50,-22,-20,-10
11:00,0,10,11:00,-190,-100,-10
06:40,-110,11,06:40,-100,-50,-20
09:20,50,1,09:20,-180,-90,-20
08:00,-220,4,08:00,-160,-70,-20
10:50,-180,17,10:50,-180,-90,-10
15:50,250,1,15:50,-170,60,278
14:00,-150,2,14:00,-210,-105,20
13:00,10,2,13:00,-178,-90,28
13:30,-40,4,13:30,-176,-90,40
06:30,-100,10,06:30,-110,-50,-20
12:10,-350,1,12:10,-190,-100,-10
08:00,-150,17,08:00,-160,-70,-20
11:20,-180,11,11:20,-180,-100,0
07:30,-110,25,07:30,-140,-70,-20
11:10,-160,13,11:10,-190,-100,-10
11:20,-160,10,11:20,-180,-100,0
11:20,10,8,11:20,-180,-100,0
08:10,-400,1,08:10,-150,-80,-20
07:50,-250,1,07:50,-150,-70,-20
12:50,-150,11,12:50,-200,-100,20
08:10,90,1,08:10,-150,-80,-20
07:10,10,5,07:10,-130,-60,-30
10:40,-200,7,10:40,-180,-100,-24
09:10,120,1,09:10,-180,-90,-20
13:20,50,1,13:20,-170,-70,78
12:40,-140,7,12:40,-180,-80,42
12:20,70,2,12:20,-200,-100,-10
10:40,-10,7,10:40,-180,-100,-24
10:00,90,3,10:00,-170,-90,-10
06:40,-220,1,06:40,-100,-50,-20
12:50,10,2,12:50,-200,-100,20
07:10,-20,17,07:10,-130,-60,-30
06:20,-70,14,06:20,-90,-40,-20
08:10,-140,32,08:10,-150,-80,-20
08:20,-200,5,08:20,-165,-80,-20
13:50,-110,5,13:50,-190,-100,56
06:20,-210,1,06:20,-90,-40,-20
15:30,-50,2,15:30,-123,-90,53
12:20,-90,12,12:20,-200,-100,-10
10:10,-240,7,10:10,-180,-90,-20
12:00,-200,3,12:00,-204,-100,10
09:30,-170,19,09:30,-180,-80,-20
06:50,-120,13,06:50,-120,-60,-20
11:30,-30,15,11:30,-190,-100,-10
11:20,-250,2,11:20,-180,-100,0
12:20,-100,10,12:20,-200,-100,-10
10:30,-260,2,10:30,-181,-90,-10
12:30,-50,11,12:30,-180,-90,20
14:20,-100,2,14:20,-179,-90,30
14:40,-90,3,14:40,-210,-50,70
12:20,-20,6,12:20,-200,-100,-10
12:20,-170,4,12:20,-200,-100,-10
12:00,-280,1,12:00,-204,-100,10
07:30,-320,1,07:30,-140,-70,-20
09:50,-330,2,09:50,-180,-80,-20
12:10,0,6,12:10,-190,-100,-10
11:40,-240,6,11:40,-190,-100,-10
11:00,20,5,11:00,-190,-100,-10
10:50,-290,2,10:50,-180,-90,-10
07:00,-130,9,07:00,-130,-60,-20
11:10,150,2,11:10,-190,-100,-10
11:50,-180,4,11:50,-180,-95,0
13:00,40,2,13:00,-178,-90,28
16:40,130,1,16:40,-184,-100,105
