bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
14:40,-10.0,6,14:40,-80.0,0.0,94.0
14:10,40.0,14,14:10,-70.0,5.0,87.0
15:10,0.0,3,15:10,-110.0,20.0,110.0
09:20,-150.0,13,09:20,-80.0,-20.0,30.0
15:00,-60.0,3,15:00,-95.0,-15.0,95.0
12:20,-40.0,31,12:20,-90.0,-10.0,70.0
14:20,100.0,2,14:20,-70.0,0.0,100.0
13:40,60.0,13,13:40,-100.0,-10.0,80.0
06:30,-60.0,8,06:30,-50.0,-10.0,10.0
16:30,10.0,2,16:30,-55.0,10.0,130.0
09:40,-170.0,4,09:40,-90.0,-20.0,30.0
11:40,-120.0,9,11:40,-90.0,-10.0,60.0
14:20,-70.0,4,14:20,-70.0,0.0,100.0
12:40,80.0,6,12:40,-90.0,-10.0,90.0
11:00,-70.0,51,11:00,-90.0,-20.0,50.0
08:50,-230.0,4,08:50,-80.0,-20.0,20.0
13:00,-50.0,17,13:00,-80.0,-10.0,91.0
15:20,20.0,4,15:20,-92.0,15.0,143.0
11:20,30.0,55,11:20,-90.0,-10.0,50.0
11:40,70.0,17,11:40,-90.0,-10.0,60.0
14:10,-120.0,3,14:10,-70.0,5.0,87.0
14:00,-80.0,5,14:00,-100.0,0.0,100.0
10:40,-150.0,9,10:40,-80.0,-20.0,40.0
06:00,-10.0,16,06:00,-64.0,-10.0,0.0
08:50,-180.0,4,08:50,-80.0,-20.0,20.0
12:50,-140.0,2,12:50,-80.0,-10.0,80.0
11:00,110.0,5,11:00,-90.0,-20.0,50.0
15:30,-150.0,1,15:30,-101.0,20.0,81.0
14:30,80.0,3,14:30,-84.0,0.0,90.0
13:50,0.0,9,13:50,-110.0,-10.0,90.0
10:10,-200.0,4,10:10,-80.0,-20.0,30.0
08:20,40.0,20,08:20,-80.0,-20.0,20.0
13:50,-10.0,7,13:50,-110.0,-10.0,90.0
08:40,-130.0,14,08:40,-80.0,-20.0,20.0
12:50,150.0,2,12:50,-80.0,-10.0,80.0
11:10,80.0,16,11:10,-95.0,-10.0,50.0
13:00,130.0,3,13:00,-80.0,-10.0,91.0
13:40,-40.0,9,13:40,-100.0,-10.0,80.0
13:50,-50.0,7,13:50,-110.0,-10.0,90.0
08:10,-240.0,17,08:10,-80.0,-20.0,20.0
